1275350400	?	0	?	?	?
1276060258	?	0	?	?	?
1276102181	?	?	124	?	?
1276112371	?	?	238	?	?
1276127559	?	?	531	?	?
1276185458	?	?	965	?	?
1276221392	?	?	965	?	?
1276278289	?	?	1440	?	?
1276452929	?	5	?	?	?
1276453015	?	5	?	?	?
1276453196	?	5	?	?	?
1276453232	?	5	?	?	?
1276453527	?	?	1455	?	?
1276453696	?	?	1456	?	?
1276454532	?	8	?	?	?
1276467592	?	277	?	?	?
1276476374	608	?	?	?	?
1276476945	?	?	?	29	?
1276817400	781	?	?	?	?
1276817913	1284	?	?	?	?
1276827964	?	?	2128	?	?
1277091977	?	?	2213	?	?
1277091995	?	?	2890	?	?
1277093227	?	?	2943	?	?
1277135879	?	?	3219	?	?
1277170539	?	?	?	37	?
1277170547	?	?	?	41	?
1277174704	?	?	3264	?	?
1277329770	2815	?	?	?	?
1277329949	2815	?	?	?	?
1277333139	?	?	3265	?	?
1277353664	?	1945	?	?	?
1277506119	5273	?	?	?	?
1277508774	6265	?	?	?	?
1277514380	?	2587	?	?	?
1277742832	?	?	?	462	?
1277778829	?	3130	?	?	?
1277781573	?	3130	?	?	?
1277785312	?	3130	?	?	?
1278112792	8196	?	?	?	?
1278113002	?	?	3265	?	?
1278119652	?	?	3441	?	?
1278119976	?	?	3441	?	?
1278128793	?	?	3441	?	?
1278362703	8520	?	?	?	?
1278368751	9358	?	?	?	?
1278563825	10225	?	?	?	?
1278564063	?	?	3526	?	?
1279148974	11550	?	?	?	?
1279150124	?	3812	?	?	?
1279493574	11867	?	?	?	?
1279582002	12006	?	?	?	?
1279590765	12892	?	?	?	?
1279607203	13207	?	?	?	?
1279607344	13422	?	?	?	?
1280186508	15519	?	?	?	?
1280212173	16552	?	?	?	?
1280339969	17561	?	?	?	?
1280591953	?	?	?	757	?
1280593330	17752	?	?	?	?
1280595690	?	?	3541	?	?
1280598452	?	?	3541	?	?
1280601463	?	?	3541	?	?
1280606266	19212	?	?	?	?
1280611216	?	4119	?	?	?
1280620833	?	5670	?	?	?
1280621129	?	?	3541	?	?
1280621636	?	?	3541	?	?
1280625059	?	?	4438	?	?
1280625400	21009	?	?	?	?
1280634593	22190	?	?	?	?
1280635397	?	5670	?	?	?
1280636406	?	?	?	2582	?
1280641806	23301	?	?	?	?
1280687074	23967	?	?	?	?
1280695783	?	?	4438	?	?
1280696523	?	?	4438	?	?
1280812918	24951	?	?	?	?
1280881367	?	?	4833	?	?
1280908289	27163	?	?	?	?
1281133646	29187	?	?	?	?
1281282458	?	?	?	2689	?
1281289255	29189	?	?	?	?
1281294133	?	?	4866	?	?
1281294584	?	?	?	3009	?
1281301248	?	7378	?	?	?
1281301303	?	7378	?	?	?
1281304706	?	?	6023	?	?
1281306052	?	?	6023	?	?
1281306611	29897	?	?	?	?
1281307843	?	?	6023	?	?
1281308156	?	?	6023	?	?
1281310698	?	?	6123	?	?
1281311232	?	?	6125	?	?
1281311531	?	?	6125	?	?
1281315839	?	?	6371	?	?
